tweet_id,file_id,id,id_str,full_text
0,sample-covid-data-03.jsonl,1.22E+18,1.22E+18,"RT @cnnbrk: A man who lives in Snohomish County, Washington, is confirmed to have the first US case of Wuhan coronavirus https://t.co/Kmw7E…"
1,sample-covid-data-03.jsonl,1.22E+18,1.22E+18,"RT @ABC: BREAKING: First confirmed case of the new coronavirus has been reported in Washington state, CDC says.  https://t.co/l6yHdMciBY"
2,sample-covid-data-03.jsonl,1.22E+18,1.22E+18,RT @zhang_qiii: CDC is to hold a Telebriefing re Update on 2019 Novel Coronavirus (2019-nCoV) at 2pm.
3,sample-covid-data-03.jsonl,1.22E+18,1.22E+18,"RT @darhar981: First coronavirus case confirmed in US: CDC

https://t.co/CinuPqVwab"
4,sample-covid-data-03.jsonl,1.22E+18,1.22E+18,RT @CDCgov: The first human infection with new #coronavirus (#2019-nCoV) has been reported in the US in a person who recently traveled to W…
5,sample-covid-data-03.jsonl,1.22E+18,1.22E+18,CDC Confirms First U.S. Case of Deadly China Virus https://t.co/GugcDU71lL via @BreitbartNews
6,sample-covid-data-03.jsonl,1.22E+18,1.22E+18,RT @CDCgov: The first human infection with new #coronavirus (#2019-nCoV) has been reported in the US in a person who recently traveled to W…
7,sample-covid-data-03.jsonl,1.22E+18,1.22E+18,"RT @cnnbrk: A man who lives in Snohomish County, Washington, is confirmed to have the first US case of Wuhan coronavirus https://t.co/Kmw7E…"
8,sample-covid-data-03.jsonl,1.22E+18,1.22E+18,CDC confirms 1st case of #Coronoavirus in the U.S. https://t.co/V3Kdek0PhR https://t.co/iQRLvj7njr
9,sample-covid-data-03.jsonl,1.22E+18,1.22E+18,"RT @AnnCoulter: Oh for pete's sake!  The Supreme Court upheld your Muslim ban, @realDonaldTrump!  Would you please put a temporary travel b…"
10,sample-covid-data-03.jsonl,1.22E+18,1.22E+18,RT @CNN: The US Centers for Disease Control and Prevention is expected to announce this afternoon that the first case of Wuhan coronavirus…
11,sample-covid-data-03.jsonl,1.22E+18,1.22E+18,"First Case Of Chinese Coronavirus In US Confirmed By CDC, New Evidence The Disease Is Transmitted From Human To Human https://t.co/Vvrz955F9x"
12,sample-covid-data-03.jsonl,1.22E+18,1.22E+18,"RT @nytimes: Breaking News: The first U.S. case of the Wuhan coronavirus has been confirmed in Washington State, federal officials said. Th…"
13,sample-covid-data-03.jsonl,1.22E+18,1.22E+18,CDC confirms 1st case of #Coronoavirus in the U.S. https://t.co/K141Jk9mtn https://t.co/2UbTw1TC3T
